,Unnamed: 0,ligand_name,sequence_id,label
3837,3837,28,4020,1
3838,3838,28,4021,1
3839,3839,28,4022,1
3840,3840,28,4023,1
3841,3841,28,4024,1
3842,3842,28,4025,1
3843,3843,28,4026,1
3844,3844,28,4027,1
3845,3845,28,4028,1
3846,3846,28,4029,1
4517,4517,121,4667,1
4518,4518,121,4668,1
4519,4519,121,4669,1
4520,4520,121,4670,1
4521,4521,121,4671,1
4522,4522,121,4672,1
4523,4523,121,4614,1
4524,4524,121,4673,1
4525,4525,121,4674,1
4526,4526,121,4676,1
4527,4527,121,4677,1
4622,4622,121,4775,1
4623,4623,121,4776,1
4624,4624,121,4777,1
4625,4625,121,4778,1
4626,4626,121,4779,1
4627,4627,121,4780,1
4628,4628,121,4781,1
4629,4629,121,4782,1
4630,4630,121,4783,1
4631,4631,121,4784,1
4632,4632,121,4785,1
4633,4633,121,4786,1
4634,4634,121,4787,1
4635,4635,121,4788,1
4636,4636,121,4789,1
4637,4637,121,4790,1
4638,4638,121,4791,1
4639,4639,121,4792,1
4640,4640,121,4793,1
4641,4641,121,4794,1
4642,4642,121,4795,1
4643,4643,121,4796,1
4644,4644,121,4797,1
4645,4645,121,4798,1
4646,4646,121,4799,1
4647,4647,121,4800,1
4648,4648,121,4801,1
4649,4649,121,4802,1
4749,4749,121,4904,1
4750,4750,121,4905,1
4751,4751,121,4906,1
4752,4752,121,4907,1
4753,4753,121,4908,1
4754,4754,121,4909,1
4755,4755,121,4910,1
4756,4756,121,4911,1
4757,4757,121,4912,1
4806,4806,121,4965,1
4807,4807,121,4966,1
4808,4808,121,4967,1
4809,4809,121,4968,1
4810,4810,121,4969,1
4811,4811,121,4971,1
4812,4812,121,4972,1
4813,4813,121,4973,1
4874,4874,121,5041,1
4875,4875,121,5042,1
4876,4876,121,5043,1
4877,4877,121,5044,1
4878,4878,121,5045,1
4879,4879,121,5046,1
4880,4880,121,5047,1
4881,4881,121,5048,1
4882,4882,121,5049,1
4883,4883,121,5050,1
4884,4884,121,5052,1
4885,4885,121,5053,1
4886,4886,121,5054,1
4887,4887,121,5055,1
4888,4888,121,5058,1
4889,4889,121,5059,1
4890,4890,121,5060,1
4891,4891,121,5061,1
4892,4892,121,5062,1
4893,4893,121,5063,1
4894,4894,121,5064,1
4895,4895,121,5065,1
4896,4896,121,5066,1
4897,4897,121,5067,1
4898,4898,121,5068,1
4899,4899,121,5069,1
4900,4900,121,5070,1
4901,4901,121,5071,1
4902,4902,121,5072,1
4903,4903,121,5073,1
4904,4904,121,5074,1
5033,5033,28,5215,1
5034,5034,28,5216,1
5051,5051,28,5233,1
5052,5052,28,5234,1
5053,5053,28,5235,1
5054,5054,28,5236,1
5055,5055,28,5237,1
5926,5926,121,6193,1
5927,5927,121,6196,1
5928,5928,121,6197,1
5929,5929,121,6198,1
5930,5930,121,6199,1
5931,5931,121,6200,1
5932,5932,121,6201,1
5933,5933,121,6202,1
5934,5934,121,6204,1
5935,5935,121,6205,1
5936,5936,121,6206,1
5937,5937,121,6207,1
5938,5938,121,6208,1
5939,5939,121,6209,1
5940,5940,121,6210,1
5941,5941,121,6211,1
5942,5942,121,6212,1
5943,5943,121,6213,1
5944,5944,121,6215,1
5945,5945,121,6216,1
5946,5946,121,6217,1
5947,5947,121,6218,1
5948,5948,121,6219,1
5949,5949,121,6221,1
5950,5950,121,6222,1
5951,5951,121,6223,1
5952,5952,121,6225,1
5953,5953,121,6226,1
5954,5954,121,6227,1
5955,5955,121,6228,1
5956,5956,121,6229,1
5957,5957,121,6230,1
5958,5958,121,6231,1
5959,5959,121,6232,1
5960,5960,121,6233,1
5961,5961,121,6234,1
5962,5962,121,6235,1
5963,5963,121,6236,1
5964,5964,121,6237,1
5965,5965,121,6238,1
5966,5966,121,6239,1
5967,5967,121,6240,1
5968,5968,121,6241,1
5969,5969,121,6242,1
5970,5970,121,6243,1
5971,5971,121,6244,1
5972,5972,121,6245,1
5973,5973,121,6246,1
5974,5974,121,6247,1
5975,5975,121,6248,1
5976,5976,121,6249,1
5977,5977,121,6251,1
5978,5978,121,6252,1
5979,5979,121,6253,1
5980,5980,121,6254,1
5981,5981,121,6255,1
5982,5982,121,6256,1
5983,5983,121,6257,1
5984,5984,121,6258,1
5985,5985,121,6259,1
5986,5986,121,6261,1
5987,5987,121,6262,1
5988,5988,121,6263,1
5989,5989,121,6265,1
5990,5990,121,6266,1
5991,5991,121,6267,1
5992,5992,121,6268,1
5993,5993,121,6269,1
5994,5994,121,6270,1
5995,5995,121,6271,1
5996,5996,121,6272,1
5997,5997,121,6273,1
5998,5998,121,6274,1
5999,5999,121,6275,1
6000,6000,121,6276,1
6001,6001,121,6277,1
6002,6002,121,6278,1
6003,6003,121,6279,1
6004,6004,121,6280,1
6005,6005,121,6281,1
6006,6006,121,6282,1
6007,6007,121,6284,1
6008,6008,121,6285,1
6009,6009,121,6286,1
6010,6010,121,6287,1
6011,6011,121,6288,1
6012,6012,121,6289,1
6013,6013,121,6290,1
6014,6014,121,6291,1
6015,6015,121,6294,1
6016,6016,121,6296,1
6017,6017,121,6297,1
6018,6018,121,6298,1
6019,6019,121,6299,1
6020,6020,121,6300,1
6021,6021,121,6301,1
6022,6022,121,6302,1
6023,6023,121,6303,1
6024,6024,121,6304,1
6025,6025,121,6305,1
6026,6026,121,6306,1
6027,6027,121,6308,1
6028,6028,121,6309,1
6029,6029,121,6310,1
6030,6030,121,6311,1
6031,6031,121,6312,1
6032,6032,121,6313,1
6033,6033,121,6314,1
6034,6034,121,6315,1
6035,6035,121,6316,1
6036,6036,121,6317,1
6037,6037,121,6318,1
6038,6038,121,6319,1
6039,6039,121,6320,1
6040,6040,121,6321,1
6041,6041,121,6322,1
6042,6042,121,6323,1
6043,6043,121,6324,1
6044,6044,121,6325,1
6045,6045,121,6326,1
6046,6046,121,6328,1
6047,6047,121,6329,1
6048,6048,121,6330,1
6049,6049,121,6331,1
6050,6050,121,6332,1
6051,6051,121,6333,1
6052,6052,121,6334,1
6053,6053,121,6335,1
6054,6054,121,6336,1
6055,6055,121,6337,1
6056,6056,121,6338,1
6057,6057,121,6339,1
6058,6058,121,6340,1
6059,6059,121,6341,1
6060,6060,121,6342,1
6061,6061,121,6343,1
6062,6062,121,6344,1
6063,6063,121,6345,1
6064,6064,121,6346,1
6065,6065,121,6347,1
6066,6066,121,6348,1
6067,6067,121,6349,1
6068,6068,121,6350,1
6069,6069,121,6351,1
6070,6070,121,6352,1
6071,6071,121,6353,1
6072,6072,121,6354,1
6073,6073,121,6356,1
6074,6074,121,6358,1
6075,6075,121,6359,1
6076,6076,121,6360,1
6077,6077,121,6361,1
6078,6078,121,6362,1
6079,6079,121,6363,1
6080,6080,121,6364,1
6081,6081,121,6365,1
6082,6082,121,6366,1
6083,6083,121,6367,1
6084,6084,121,6368,1
6085,6085,121,6369,1
6086,6086,121,6370,1
6087,6087,121,6371,1
6088,6088,121,6372,1
6089,6089,121,6374,1
6090,6090,121,6375,1
6899,6899,22,7277,1
6900,6900,22,7278,1
6901,6901,22,7280,1
6902,6902,22,7281,1
6925,6925,76,7306,1
6926,6926,76,7307,1
6927,6927,76,7308,1
6928,6928,76,7309,1
6929,6929,76,7310,1
6930,6930,76,7311,1
6931,6931,76,7312,1
6932,6932,76,7313,1
6933,6933,76,7314,1
6934,6934,76,7315,1
6935,6935,76,7316,1
6936,6936,76,7317,1
6937,6937,76,7318,1
6938,6938,76,7319,1
6939,6939,76,7320,1
6940,6940,76,7321,1
6941,6941,76,7322,1
6942,6942,76,7323,1
6943,6943,76,7324,1
6944,6944,76,7325,1
6945,6945,76,7326,1
6946,6946,76,7327,1
6947,6947,76,7328,1
6948,6948,76,7329,1
6949,6949,76,7330,1
6950,6950,76,7331,1
6951,6951,76,7332,1
6952,6952,76,7333,1
6953,6953,76,7334,1
6954,6954,76,7335,1
6955,6955,76,7336,1
6956,6956,76,7337,1
6957,6957,76,7338,1
6958,6958,76,7339,1
6959,6959,76,7340,1
6960,6960,76,7341,1
6961,6961,76,7342,1
6962,6962,76,7343,1
6963,6963,76,7344,1
6964,6964,76,7345,1
6965,6965,76,7346,1
6966,6966,76,7348,1
6967,6967,76,7349,1
6968,6968,76,7350,1
6969,6969,76,7351,1
6970,6970,76,7353,1
6971,6971,76,7354,1
6972,6972,76,7355,1
6973,6973,76,7356,1
6974,6974,76,7357,1
6975,6975,76,7358,1
6976,6976,76,7359,1
6977,6977,76,7360,1
6978,6978,76,7361,1
6979,6979,76,7362,1
6980,6980,76,7363,1
6981,6981,76,7364,1
6982,6982,76,7365,1
6983,6983,76,7366,1
6984,6984,76,7367,1
6985,6985,76,7368,1
6986,6986,76,7369,1
6987,6987,76,7370,1
6988,6988,76,7371,1
6989,6989,76,7372,1
6990,6990,76,7373,1
6991,6991,76,7374,1
6992,6992,76,7376,1
6993,6993,76,7377,1
6994,6994,76,7378,1
6995,6995,76,7379,1
6996,6996,76,7380,1
6997,6997,76,7381,1
6998,6998,76,7382,1
6999,6999,76,7383,1
7000,7000,76,7384,1
7001,7001,76,7385,1
7002,7002,76,7387,1
7003,7003,76,7388,1
7004,7004,76,7389,1
7005,7005,76,7390,1
7006,7006,76,7391,1
7007,7007,76,7392,1
7008,7008,76,7393,1
7009,7009,76,7394,1
7010,7010,76,7395,1
7011,7011,76,7396,1
7012,7012,76,7397,1
7013,7013,76,7398,1
7014,7014,76,7399,1
7015,7015,76,7400,1
7016,7016,76,7401,1
7017,7017,76,7402,1
7018,7018,76,7403,1
7019,7019,76,7404,1
7020,7020,76,7405,1
7021,7021,76,7406,1
7022,7022,76,7407,1
7023,7023,76,7408,1
7024,7024,76,7409,1
7025,7025,76,7410,1
7026,7026,76,7411,1
7027,7027,76,7412,1
7028,7028,76,7413,1
7029,7029,76,7414,1
7030,7030,76,7415,1
7031,7031,76,7417,1
7032,7032,76,7418,1
7033,7033,76,7419,1
7034,7034,76,7420,1
7035,7035,76,7421,1
7036,7036,76,7422,1
7037,7037,76,7423,1
7038,7038,76,7424,1
7039,7039,76,7425,1
7040,7040,76,7426,1
7041,7041,76,7427,1
7042,7042,76,7428,1
7043,7043,76,7429,1
7044,7044,76,7430,1
7045,7045,76,7431,1
7046,7046,76,7433,1
7047,7047,76,7434,1
7048,7048,76,7435,1
7049,7049,76,7436,1
7050,7050,76,7437,1
7051,7051,76,7438,1
7052,7052,76,7439,1
7053,7053,76,7440,1
7054,7054,76,7441,1
7055,7055,76,7442,1
7056,7056,76,7443,1
7057,7057,76,7444,1
7058,7058,76,7445,1
7059,7059,76,7446,1
7060,7060,76,7447,1
7061,7061,76,7448,1
7062,7062,76,7449,1
7063,7063,76,7450,1
7064,7064,76,7451,1
7065,7065,76,7452,1
7066,7066,76,7453,1
7067,7067,76,7454,1
7068,7068,76,7455,1
7069,7069,76,7456,1
7070,7070,76,7457,1
7071,7071,76,7458,1
7072,7072,76,7459,1
7073,7073,76,7460,1
7074,7074,76,7461,1
7075,7075,76,7462,1
7076,7076,76,7463,1
7077,7077,76,7464,1
7078,7078,76,7465,1
7079,7079,76,7466,1
7080,7080,76,7467,1
7081,7081,76,7468,1
7082,7082,76,7469,1
7083,7083,76,7470,1
7084,7084,76,7471,1
7085,7085,76,7472,1
7086,7086,76,7473,1
7087,7087,76,7474,1
7088,7088,76,7475,1
7089,7089,76,7476,1
7090,7090,76,7477,1
7091,7091,76,7478,1
7092,7092,76,7479,1
7093,7093,76,7480,1
7094,7094,76,7481,1
7095,7095,76,7482,1
7096,7096,76,7483,1
7097,7097,76,7484,1
7098,7098,76,7485,1
7099,7099,76,7488,1
7100,7100,76,7489,1
7101,7101,76,7490,1
7102,7102,76,7491,1
7103,7103,76,7492,1
7104,7104,76,7493,1
7105,7105,76,7494,1
7106,7106,76,7495,1
7107,7107,76,2735,1
7108,7108,76,7497,1
7109,7109,76,7498,1
7110,7110,76,7499,1
7111,7111,76,7500,1
7112,7112,76,7502,1
7113,7113,76,7503,1
7114,7114,76,7506,1
7115,7115,76,7508,1
7116,7116,76,7509,1
7117,7117,76,7510,1
7118,7118,76,7511,1
7119,7119,76,7512,1
7120,7120,76,7513,1
7121,7121,76,7514,1
7122,7122,76,7515,1
7123,7123,76,7517,1
7124,7124,76,7518,1
7125,7125,76,7519,1
7126,7126,76,7520,1
7127,7127,76,7522,1
7128,7128,76,7523,1
7129,7129,76,7524,1
7130,7130,76,7525,1
7131,7131,76,7526,1
7132,7132,76,7527,1
7133,7133,76,7528,1
7134,7134,76,7529,1
7135,7135,76,7530,1
7136,7136,76,7531,1
7137,7137,76,7532,1
7138,7138,76,7533,1
7139,7139,76,7534,1
7140,7140,76,7535,1
7141,7141,76,7536,1
7142,7142,76,7537,1
7143,7143,76,7538,1
7144,7144,76,7539,1
7145,7145,76,7540,1
7146,7146,76,7541,1
7147,7147,76,7542,1
7148,7148,76,7543,1
7149,7149,76,7544,1
7150,7150,76,7545,1
7151,7151,76,7547,1
7152,7152,76,7548,1
7153,7153,76,7549,1
7154,7154,76,7550,1
7155,7155,76,7551,1
7156,7156,76,7552,1
7157,7157,76,7553,1
7158,7158,76,7554,1
7159,7159,76,7556,1
7160,7160,76,7557,1
7161,7161,76,7558,1
7162,7162,76,7559,1
